"AssessmentID","EnrollmentID","PersonalID","AssessmentDate","AssessmentLocation","AssessmentType","AssessmentLevel","PrioritizationStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4104264","762414","656389",2020-02-10,"1060",1,1,1,2020-02-19 08:35:56,2020-02-19 08:35:56,"18",,"1036"
"4104266","762415","656388",2020-02-10,"1060",1,1,1,2020-02-19 08:37:17,2020-02-19 08:37:17,"18",,"1036"
"4110031","761067","657227",2020-02-24,"1396",3,2,1,2020-02-24 17:34:39,2020-02-24 17:34:39,"59",,"1036"
"4122732","757764","655772",2020-01-16,"1396",3,2,1,2020-03-04 14:27:31,2020-03-04 14:27:31,"59",,"1036"
"4122774","764732","9375",2020-03-04,"1492",3,2,2,2020-03-04 14:30:31,2020-03-04 14:30:31,"59",,"1036"
"4149089","769141","633652",2020-03-23,"632",1,2,1,2020-03-30 14:42:35,2020-03-30 14:42:35,"49",,"1036"
"4160166","768300","660150",2020-04-09,"1396",1,2,1,2020-04-09 06:12:03,2020-04-09 06:12:03,"59",,"1036"
"4341002","780168","661122",2020-08-24,"1060",1,2,1,2020-08-25 10:35:59,2020-08-25 10:35:59,"18",,"1036"
"4342788","780284","666340",2020-08-25,"1060",1,2,1,2020-08-26 08:05:00,2020-08-26 08:05:00,"18",,"1036"
"4344474","780424","666401",2020-08-26,"1060",1,1,1,2020-08-26 14:03:57,2020-08-26 14:03:57,"18",,"1036"
"4348532","780622","636866",2020-08-28,"1396",3,2,1,2020-08-28 14:21:26,2020-08-28 14:21:26,"59",,"1036"
"4377954","783063","634241",2020-09-16,"1492",3,2,1,2020-09-17 04:14:32,2020-09-17 04:14:32,"25",,"1036"
"4405325","784618","668580",2020-10-06,"1060",1,1,1,2020-10-06 11:17:52,2020-10-06 11:17:52,"18",,"1036"
"4468415","788729","641913",2020-11-12,"1579",3,2,2,2020-11-12 08:51:21,2020-11-12 08:51:21,"26",,"1036"
"4541577","800791","673197",2020-12-17,"486",3,2,1,2020-12-18 09:05:21,2020-12-18 09:05:21,"26",,"1036"
"4584887","800788","674576",2021-01-11,"486",1,2,1,2021-01-11 11:59:23,2021-01-11 11:59:23,"26",,"1036"
"4598648","764390","555216",2020-02-25,"1146",1,1,1,2021-01-15 00:58:35,2021-01-15 00:58:35,"26",,"1036"
"4616322","797875","563363",2021-01-21,"1146",1,2,1,2021-01-21 16:04:59,2021-01-21 16:04:59,"26",,"1036"
"4630851","799085","674955",2021-01-27,"1579",1,2,1,2021-01-27 12:50:21,2021-01-27 12:50:21,"26",,"1036"
"4650222","800291","676867",2021-02-03,"1060",1,1,1,2021-02-03 12:00:07,2021-02-03 12:00:07,"18",,"1036"
"4729596","805891","679777",2021-03-15,"486",3,2,1,2021-03-15 09:35:52,2021-03-15 09:35:52,"26",,"1036"
"4772142","808803","681082",2021-04-09,"1177",3,2,1,2021-04-09 12:34:01,2021-04-09 12:34:01,"23",,"1036"
"4773034","808853","602227",2021-04-09,"1551",3,2,1,2021-04-10 09:45:04,2021-04-10 09:45:04,"27",,"1036"
"4779280","810887","681328",2021-04-14,"1555",1,2,1,2021-04-15 01:05:58,2021-04-15 01:05:58,"28",,"1036"
"4860902","814727","680699",2021-06-08,"1492",3,2,1,2021-06-08 12:21:04,2021-06-08 12:21:04,"27",,"1036"
"4876058","815736","684102",2021-06-15,"1060",3,2,1,2021-06-16 20:17:36,2021-06-16 20:17:36,"28",,"1036"
"4877106","833366","648059",2021-06-17,"389",1,2,1,2021-06-17 12:36:07,2021-06-17 12:36:07,"29",,"1036"
"4879805","816035","602428",2021-06-18,"1551",1,2,1,2021-06-18 18:01:42,2021-06-18 18:01:42,"27",,"1036"
"4891081","816854","684579",2021-06-25,"1647",3,2,1,2021-06-25 09:58:21,2021-06-25 09:58:21,"27",,"1036"
"4912853","820819","685237",2021-07-08,"1492",3,2,1,2021-07-08 12:35:22,2021-07-08 12:35:22,"28",,"1036"
"4921045","818536","685525",2021-07-14,"1396",3,2,1,2021-07-14 06:25:53,2021-07-14 06:25:53,"27",,"1036"
"4933215","819205","522792",2021-07-21,"1177",3,2,1,2021-07-21 08:51:44,2021-07-21 08:51:44,"23",,"1036"
"4943171","823854","686225",2021-07-26,"1060",3,1,1,2021-07-27 09:40:56,2021-07-27 09:40:56,"28",,"1036"
"4961326","821019","686774",2021-08-06,"1492",3,2,1,2021-08-08 09:17:17,2021-08-08 09:17:17,"27",,"1036"
"4965341","812782","665916",2021-08-09,"1551",3,2,1,2021-08-11 10:28:10,2021-08-11 10:28:10,"27",,"1036"
"4966995","821450","649567",2021-08-11,"1647",3,2,1,2021-08-12 10:06:40,2021-08-12 10:06:40,"27",,"1036"
"4978801","822539","687415",2021-08-20,"1177",3,2,1,2021-08-20 13:18:54,2021-08-20 13:18:54,"23",,"1036"
"4993517","823460","687979",2021-08-31,"1177",3,2,1,2021-08-31 15:00:04,2021-08-31 15:00:04,"23",,"1036"
"4995544","822005","606732",2021-08-17,"1647",3,2,1,2021-09-01 14:09:35,2021-09-01 14:09:35,"27",,"1036"
"4996388","824127","668839",2021-08-27,"1647",1,2,1,2021-09-02 09:38:58,2021-09-02 09:38:58,"27",,"1036"
"5029989","825755","688268",2021-09-15,"1060",3,2,1,2021-09-24 23:47:28,2021-09-24 23:47:28,"28",,"1036"
"5030061","825860","190891",2021-09-16,"1060",3,2,1,2021-09-25 06:17:01,2021-09-25 06:17:01,"28",,"1036"
"5039447","826466","647446",2021-09-30,"1579",1,2,1,2021-10-01 07:21:16,2021-10-01 07:21:16,"26",,"1036"
"5042579","826689","689912",2021-10-04,"1579",1,2,1,2021-10-04 12:08:44,2021-10-04 12:08:44,"26",,"1036"
"5066384","827061","690120",2021-10-06,"1615",3,2,1,2021-10-19 14:04:35,2021-10-19 14:04:35,"27",,"1036"
"5079240","829172","665583",2021-10-28,"1177",3,2,1,2021-10-28 13:23:40,2021-10-28 13:23:40,"23",,"1036"
"5096744","830295","690578",2021-11-11,"1492",3,2,1,2021-11-11 06:00:16,2021-11-11 06:00:16,"27",,"1036"
"5102655","830726","596933",2021-11-10,"1551",3,2,1,2021-11-15 14:25:52,2021-11-15 14:25:52,"24",,"1036"
"5112575","831438","620079",2021-11-21,"486",3,2,1,2021-11-22 09:38:25,2021-11-22 09:38:25,"26",,"1036"
"5133189","832984","693175",2021-12-06,"1551",3,2,1,2021-12-08 08:30:07,2021-12-08 08:30:07,"24",,"1036"
"5148027","831745","692587",2021-12-17,"1492",3,2,1,2021-12-17 06:23:09,2021-12-17 06:23:09,"27",,"1036"
"5148474","834052","693651",2021-12-17,"1579",1,2,1,2021-12-17 10:41:42,2021-12-17 10:41:42,"26",,"1036"
"5182874","836750","604535",2022-01-11,"1177",3,2,1,2022-01-11 15:17:39,2022-01-11 15:17:39,"23",,"1036"
"5238051","841599","693742",2022-02-15,"1555",1,1,1,2022-02-15 10:16:55,2022-02-15 10:16:55,"28",,"1036"
"5239078","841045","668361",2022-02-15,"1177",3,2,1,2022-02-15 16:06:20,2022-02-15 16:06:20,"23",,"1036"
"5250039","842430","675899",2022-04-15,"1551",1,2,1,2022-02-23 08:41:53,2022-02-23 08:41:53,"24",,"1036"
"5257120","842208","693787",2022-02-28,"1492",3,2,1,2022-02-28 20:11:21,2022-02-28 20:11:21,"27",,"1036"
"5269773","841391","600854",2022-02-11,"1551",3,2,1,2022-03-09 09:17:53,2022-03-09 09:17:53,"24",,"1036"
"5276017","846969","664608",2022-06-16,"1146",1,1,1,2022-03-14 08:18:27,2022-03-14 08:18:27,"30",,"1036"
"5277018","843784","551830",2022-03-14,"1177",3,2,1,2022-03-14 13:34:05,2022-03-14 13:34:05,"23",,"1036"
"5277236","843791","697595",2022-03-14,"1351",3,2,1,2022-03-14 14:02:23,2022-03-14 14:02:23,"30",,"1036"
"5286124","844450","681860",2022-03-21,"1177",3,2,1,2022-03-21 11:34:06,2022-03-21 11:34:06,"23",,"1036"
"5290275","844780","697950",2022-03-22,"1177",3,2,1,2022-03-23 09:55:56,2022-03-23 09:55:56,"23",,"1036"
"5300874","845601","614654",2022-03-30,"1177",3,2,1,2022-03-30 12:54:54,2022-03-30 12:54:54,"23",,"1036"
"5303795","845818","522700",2022-03-31,"1146",1,1,1,2022-03-31 12:52:04,2022-03-31 12:52:04,"28",,"1036"
"5304074","845840","698455",2022-03-31,"1146",1,1,1,2022-03-31 14:49:59,2022-03-31 14:49:59,"30",,"1036"
"5315468","843201","696944",2022-04-07,"1146",1,2,1,2022-04-07 10:33:42,2022-04-07 10:33:42,"18",,"1036"
"5327268","847493","502816",2022-04-11,"1551",3,2,1,2022-04-17 15:08:19,2022-04-17 15:08:19,"29",,"1036"
"5341864","848491","623073",2022-04-25,"1551",3,2,1,2022-04-26 16:30:15,2022-04-26 16:30:15,"24",,"1036"
"5352582","849273","672749",2022-05-04,"1177",3,2,1,2022-05-04 12:12:10,2022-05-04 12:12:10,"23",,"1036"
"5409782","812699","619979",2022-06-14,"1647",3,2,1,2022-06-14 18:05:05,2022-06-14 18:05:05,"27",,"1036"
"5431014","854917","646343",2022-06-29,"1579",3,2,1,2022-06-29 11:28:22,2022-06-29 11:28:22,"26",,"1036"
"5474842","858051","134283",2022-08-01,"1579",1,2,1,2022-08-01 09:53:05,2022-08-01 09:53:05,"29",,"1036"
"5483157","858682","416498",2022-08-04,"1551",3,2,1,2022-08-05 10:49:25,2022-08-05 10:49:25,"24",,"1036"
"5491911","859316","635168",2022-08-06,"1647",3,2,1,2022-08-11 15:12:09,2022-08-11 15:12:09,"26",,"1036"
"5502230","860078","706298",2022-08-16,"486",3,2,1,2022-08-19 09:51:12,2022-08-19 09:51:12,"30",,"1036"
"5521579","861608","707206",2022-09-01,"1579",1,2,1,2022-09-01 13:49:49,2022-09-01 13:49:49,"26",,"1036"
"5534099","863635","702478",2022-09-23,"1492",3,2,1,2022-09-12 10:42:06,2022-09-12 10:42:06,"27",,"1036"
