"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"829635_1","829635","2615",2021-09-29,7,,0,,,1,2021-09-29 02:00:00,2021-09-29 02:00:00,"17",,"1036"
"829635_3","829635","2615",2022-02-18,7,,0,,,3,2022-02-18 13:37:26,2022-02-18 13:37:26,"17",,"1036"
"736841_1","736841","2616",2019-05-15,5,,1,,,1,2019-05-15 11:01:33,2019-05-15 11:01:33,"17",,"1036"
"736841_3","736841","2616",2020-07-23,5,,1,,,3,2020-07-23 15:28:02,2020-07-23 15:28:02,"17",,"1036"
"278060_1","278060","3166",2009-05-11,3,,1,,,1,2009-05-11 14:30:00,2009-05-11 14:30:00,"59",,"1036"
"23470_2","278060","3166",2021-05-02,3,,1,,,2,2021-05-02 14:47:36,2021-05-02 14:47:36,"59",,"1036"
"278060_3","278060","3166",2021-05-03,3,,1,,,3,2021-05-03 14:47:14,2021-05-03 14:47:14,"59",,"1036"
"813556_1","813556","3848",2021-05-26,10,,0,,1,1,2021-05-26 02:00:00,2021-05-26 02:00:00,"23",,"1036"
"813556_3","813556","3848",2021-08-24,10,,0,,1,3,2021-08-24 02:00:00,2021-08-24 02:00:00,"23",,"1036"
"810138_1","810138","5913",2021-04-22,7,,1,,,1,2021-04-22 02:00:00,2021-04-22 02:00:00,"18",,"1036"
"810138_3","810138","5913",2022-02-11,7,,1,,,3,2022-02-11 02:00:00,2022-02-11 02:00:00,"18",,"1036"
"843368_1","843368","6072",2021-12-29,4,,0,,,1,2021-12-29 02:00:00,2021-12-29 02:00:00,"28",,"1036"
"843368_3","843368","6072",2021-12-30,4,,0,,,3,2021-12-30 02:00:00,2021-12-30 02:00:00,"28",,"1036"
"764732_1","764732","9375",2020-03-04,5,,1,,,1,2020-03-04 02:00:00,2020-03-04 02:00:00,"59",,"1036"
"764732_3","764732","9375",2020-06-05,5,,1,,,3,2020-06-05 08:02:39,2020-06-05 08:02:39,"59",,"1036"
"843040_1","843040","13473",2022-03-04,7,,0,,2,1,2022-03-04 02:00:00,2022-03-04 02:00:00,"23",,"1036"
"843040_3","843040","13473",2022-09-15,7,,0,,3,3,2022-09-15 02:00:00,2022-09-15 02:00:00,"23",,"1036"
"824230_1","824230","14780",2021-07-09,5,,0,,,1,2021-07-09 14:17:06,2021-07-09 14:17:06,"27",,"1036"
"824230_3","824230","14780",2021-11-02,5,,0,,,3,2021-11-02 15:46:42,2021-11-02 15:46:42,"27",,"1036"
"739331_1","739331","14828",2019-07-01,10,,0,,,1,2019-07-01 02:00:00,2019-07-01 02:00:00,"49",,"1036"
"739331_3","739331","14828",2020-01-31,10,,0,,,3,2020-01-31 02:00:00,2020-01-31 02:00:00,"49",,"1036"
"831386_1","831386","15891",2021-11-16,7,,0,,,1,2021-11-16 02:00:00,2021-11-16 02:00:00,"28",,"1036"
"831386_3","831386","15891",2021-12-30,7,,0,,,3,2021-12-30 02:00:00,2021-12-30 02:00:00,"28",,"1036"
"833831_1","833831","15891",2021-06-22,7,,0,,,1,2021-06-22 13:33:36,2021-06-22 13:33:36,"29",,"1036"
"833831_3","833831","15891",2021-09-14,7,,0,,,3,2021-09-14 13:34:07,2021-09-14 13:34:07,"29",,"1036"
"848868_1","848868","16403",2022-04-21,4,,0,,,1,2022-04-21 02:00:00,2022-04-21 02:00:00,"28",,"1036"
"848868_3","848868","16403",2022-05-05,4,,0,,,3,2022-05-05 02:00:00,2022-05-05 02:00:00,"28",,"1036"
"796497_1","796497","21475",2021-01-12,5,,1,,,1,2021-01-12 02:00:00,2021-01-12 02:00:00,"18",,"1036"
